Normal,Normal
Reconnaissance,Generic_scanning
Normal,Normal
Normal,Normal
Normal,Normal
RDOS,RDOS
Weaponization,BruteForce
Exfiltration,Exfiltration
Reconnaissance,Scanning_vulnerability
Weaponization,Dictionary
Normal,Normal
Normal,Normal
RDOS,RDOS
Reconnaissance,Discovering_resources
Reconnaissance,Discovering_resources
RDOS,RDOS
RDOS,RDOS
Normal,Normal
Reconnaissance,Generic_scanning
Normal,Normal
Reconnaissance,Scanning_vulnerability
RDOS,RDOS
RDOS,RDOS
Normal,Normal
Normal,Normal
Normal,Normal
Normal,Normal
Normal,Normal
RDOS,RDOS
C&C,C&C
RDOS,RDOS
Reconnaissance,Generic_scanning
Normal,Normal
RDOS,RDOS
Normal,Normal
Normal,Normal
Normal,Normal
Exfiltration,Exfiltration
RDOS,RDOS
RDOS,RDOS
Normal,Normal
Weaponization,insider_malcious
Exfiltration,Exfiltration
Reconnaissance,Scanning_vulnerability
Normal,Normal
Normal,Normal
Normal,Normal
Weaponization,BruteForce
Reconnaissance,Generic_scanning
RDOS,RDOS
RDOS,RDOS
Normal,Normal
Normal,Normal
Normal,Normal
Normal,Normal
RDOS,RDOS
Normal,Normal
Normal,Normal
Normal,Normal
Normal,Normal
Normal,Normal
Normal,Normal
RDOS,RDOS
Normal,Normal
RDOS,RDOS
Reconnaissance,Scanning_vulnerability
Weaponization,BruteForce
Normal,Normal
Normal,Normal
Exfiltration,Exfiltration
RDOS,RDOS
Reconnaissance,Scanning_vulnerability
Normal,Normal
RDOS,RDOS
Normal,Normal
Normal,Normal
Normal,Normal
Normal,Normal
Reconnaissance,Scanning_vulnerability
Normal,Normal
Normal,Normal
Normal,Normal
RDOS,RDOS
Exfiltration,Exfiltration
Normal,Normal
Lateral _movement,MQTT_cloud_broker_subscription
Normal,Normal
Normal,Normal
Tampering,False_data_injection
Reconnaissance,Scanning_vulnerability
Normal,Normal
Normal,Normal
Reconnaissance,Scanning_vulnerability
Normal,Normal
Normal,Normal
Normal,Normal
RDOS,RDOS
RDOS,RDOS
Normal,Normal
Reconnaissance,Generic_scanning
Normal,Normal
Normal,Normal
RDOS,RDOS
Normal,Normal
Normal,Normal
Normal,Normal
Normal,Normal
Weaponization,insider_malcious
Normal,Normal
Weaponization,BruteForce
Exploitation,Reverse_shell
RDOS,RDOS
Normal,Normal
Normal,Normal
Normal,Normal
Normal,Normal
Reconnaissance,Scanning_vulnerability
Normal,Normal
Lateral _movement,MQTT_cloud_broker_subscription
Normal,Normal
Reconnaissance,Scanning_vulnerability
Normal,Normal
Normal,Normal
Normal,Normal
Weaponization,BruteForce
Normal,Normal
RDOS,RDOS
RDOS,RDOS
Normal,Normal
Weaponization,BruteForce
RDOS,RDOS
Reconnaissance,Scanning_vulnerability
Weaponization,BruteForce
Normal,Normal
Normal,Normal
Normal,Normal
Normal,Normal
Normal,Normal
Exfiltration,Exfiltration
Weaponization,insider_malcious
Normal,Normal
RDOS,RDOS
Reconnaissance,Generic_scanning
Reconnaissance,Generic_scanning
RDOS,RDOS
Normal,Normal
Normal,Normal
Weaponization,BruteForce
Reconnaissance,Generic_scanning
Weaponization,BruteForce
Reconnaissance,Generic_scanning
Lateral _movement,MQTT_cloud_broker_subscription
Normal,Normal
Reconnaissance,Discovering_resources
RDOS,RDOS
Reconnaissance,Scanning_vulnerability
Normal,Normal
Weaponization,insider_malcious
Normal,Normal
Normal,Normal
Normal,Normal
Normal,Normal
Normal,Normal
Normal,Normal
RDOS,RDOS
Normal,Normal
RDOS,RDOS
C&C,C&C
Weaponization,BruteForce
Exfiltration,Exfiltration
Normal,Normal
Normal,Normal
Normal,Normal
Normal,Normal
Normal,Normal
